id;equipo;apodo;temporada;epoca;region;estilo;formacion;dinamica;formacion_con_balon;formacion_sin_balon;portada;escudo;descripcion;estilo_ataque;construccion;zona_ataque;posicionamiento;rango_apoyo;estilo_defensivo;zona_contencion;presion;linea_defensiva;compacidad;ataque_avanzada_1;ataque_avanzada_2;defensa_avanzada_1;defensa_avanzada_2;claves
river-2018-2019;River Plate;El River de Gallardo;2018-2019;Años 2010;América;Posesión vertical;4-1-3-2;Si;2-3-3-2;4/4/2002;assets/images/tacticas/river-2018-2019.jpg;img/special teams/River Plate.png;Equipo intenso y vertical, con laterales profundos, mucha gente en el medio y dos delanteros agresivos.;Posesión;Pase corto;Centro;Flexible;4;Presión en primera línea;Centro;Agresiva;7;8;Laterales ofensivos;Rotación de banda;Presión alta;Delantero liberado: Borré;Presión alta|Laterales profundos|Ataque vertical
boca-2000-2001;Boca Juniors;El Boca de Bianchi;2000-2001;Años 2000;América;Bloque compacto;4-3-1-2;Si;4-3-1-2;4-4-1-1;assets/images/tacticas/boca-2000-2001.jpg;img/special teams/boca-juniors-1996-2007-logo.png;Equipo copero, compacto y ordenado, con Riquelme libre, Serna equilibrando y Palermo como referencia.;Contraataque;Pase corto;Centro;Mantener formación;5;Defensa total;Centro;Conservadora;5;8;Centros al área;Defensivo: Serna;Delantero liberado: Palermo;Defensa atrasada;Riquelme libre|Bloque compacto|Eficacia
paises-bajos-1978;Países Bajos;La Naranja Mecánica;1978;Años 70;Europa;Fútbol total;4-3-3;Si;3-4-3;4-1-4-1;assets/images/tacticas/paises-bajos-1978.jpeg;img/special teams/KNVB.png;Posesión, presión alta, movilidad constante, extremos interiores e intercambios de posición.;Posesión;Pase corto;Centro;Flexible;3-4;Presión en primera línea;Centro;Agresiva;8;8;Tiqui-taca;Falso extremo;Presión alta;Marcaje estrecho: DC rival;Movilidad total|Línea adelantada|Extremos interiores
river-maquina-1941-1945;River Plate;La Máquina;1941-1945;Años 40;América;Asociación ofensiva;3-2-2-3;Si;2-3-5;3-4-3;assets/images/tacticas/river-maquina-1941-1945.jpg;img/special teams/River_Plate_1941.png;Adaptación jugable del histórico 2-3-5, con asociaciones cortas, movilidad y Pedernera como cerebro ofensivo.;Posesión;Pase corto;Centro;Flexible;3;Presión en primera línea;Centro;Agresiva;7;7;Tiqui-taca;Falso extremo;Presión alta;Delantero liberado: Pedernera;Delantera histórica|Pedernera falso 9|Movilidad ofensiva
barcelona-2010-2011;FC Barcelona;El Barça de Guardiola;2010-2011;Años 2010;Europa;Juego posicional;4-3-3;Si;3-4-3;4-1-4-1;assets/images/tacticas/barcelona-2010-2011.webp;img/teams/108.webp;Posesión, pase corto, presión tras pérdida y Messi como falso 9 entre extremos que atacan espacios.;Posesión;Pase corto;Centro;Flexible;2-3;Presión en primera línea;Centro;Agresiva;8;8;Tiqui-taca;Falso nueve;Presión alta;Delantero liberado: Messi;Messi falso 9|Apoyos cercanos|Presión tras pérdida
ac-milan-1988-90;AC Milan;Los Inmortales;1988-1990;Años 80;Europa;Presión organizada;4-4-2;Si;2-4-2-2;4-4-2;assets/images/tacticas/ac-milan-1988-90.jpg;img/special teams/ac-milan-1986-1994-logo.png;Bloque corto, línea altísima, presión organizada, achique y conexión letal entre Gullit y Van Basten.;Posesión;Pase corto;Centro;Mantener formación;4;Presión en primera línea;Centro;Agresiva;9;9;Defensivo: Ancelotti;Laterales ofensivos;Presión alta;Marcaje estrecho: DC rival;Línea alta|Bloque corto|Dupla Gullit-Van Basten
arsenal-2003-2004;Arsenal FC;The Invincibles;2003-2004;Años 2000;Europa;Transición elegante;4-4-2;Si;4-2-3-1;4-4-1-1;assets/images/tacticas/arsenal-2003-2004.jpg;img/teams/101.webp;Transiciones rápidas, Bergkamp conectando y Henry atacando espacios desde la izquierda.;Contraataque;Pase corto;Centro;Flexible;5;Defensa total;Centro;Conservadora;6;7;Falso extremo;Laterales ofensivos;Delantero liberado: Henry;Defensa atrasada;Invictos|Henry al espacio|Pires y Cole
brasil-1970;Brasil;La Canarinha del 70;1970;Años 70;América;Creatividad total;4-2-3-1;Si;3-2-4-1;4-4-1-1;assets/images/tacticas/brasil-1970.jpg;img/special teams/brasil-1968-1971-logo.png;Equipo ofensivo y flexible, con Pelé libre, Tostão falso 9 y Carlos Alberto profundo.;Posesión;Pase corto;Centro;Flexible;4;Defensa total;Centro;Conservadora;5;6;Falso nueve;Laterales ofensivos;Delantero liberado: Jairzinho;Defensa atrasada;Pelé libre|Tostão falso 9|Carlos Alberto
inter-2009-2010;Inter;El Inter del Triplete;2009-2010;Años 2010;Europa;Bloque compacto;4-2-3-1;Si;4-2-1-3;4-4-1-1;assets/images/tacticas/inter-2009-2010.webp;img/special teams/inter-milan-2009-2010-logo.png;Bloque inteligente y letal, con Sneijder lanzando contras y Milito definiendo.;Contraataque;Pase corto;Centro;Mantener formación;6;Defensa total;Centro;Conservadora;4;9;Defensivo: Cambiasso;Laterales ofensivos;Delantero liberado: Milito;Defensa atrasada;Triplete|Sneijder libre|Bloque bajo
real-madrid-2016-2018;Real Madrid;El Madrid de las 3 Champions;2016-2018;Años 2010;Europa;Jerarquía ofensiva;4-3-3;Si;2-3-2-3;4-1-4-1;assets/images/tacticas/real-madrid-2016-2018.webp;img/teams/109.webp;Transiciones de élite con Bale atacando espacios, Benzema asociando y Cristiano definiendo.;Contraataque;Pase corto;Banda;Flexible;6;Defensa total;Centro;Conservadora;6;7;Laterales ofensivos;Centros al área;Delantero liberado: Cristiano Ronaldo;Defensa atrasada;BBC|Laterales profundos|Champions
